Old URL,New URL,Redirect Type,Redirect Status,Notes
/services/monthly,https://subscriptions.zoho.com/subscribe/bc4836464a9b54ca577ecfc70ad6faeda7726ba08b65d6ccad482bf477cf719e/MONTHLY,Single Redirect,Active,
/blow-fish,https://sailorskills.notion.site/Blow-Fish-Service-Log-2bab82b7eacc81648afae39a9d581bef?source=copy_link,Single Redirect,Active,
/request-service,https://forms.gle/anfqFo3hNL9fAVt56,Single Redirect,Active,
/book-now,/book-lessons,Single Redirect,Active,
/ranger-23,https://sailorskills.notion.site/Ranger-23-9755f5ad4e62427088f792fed0d418af,Single Redirect,Active,
/innamorata,https://sailorskills.notion.site/Innamorata-ac07530f2ad34cf183056024be6f24b3,Single Redirect,Active,
/ricochet,https://sailorskills.notion.site/Ricochet-Service-Log-acc9add90ab94322b21d44922979c797,Single Redirect,Active,
/gerda,https://sailorskills.notion.site/Gerda-eab70e2b67fb42e0b4dd51870544ab75,Single Redirect,Active,
/another-high-time,https://sailorskills.notion.site/Another-High-Time-Service-Log-17c2c3f59b784b40a025304f036015f5?pvs=4,Single Redirect,Active,
/moon-lady,https://sailorskills.notion.site/Moon-Lady-585d3754a8a24e6f918c775abc3c395e,Single Redirect,Active,
/early-bird,/plans,Single Redirect,Active,
/fernando-augusto,https://sailorskills.notion.site/Fernando-Augusto-Service-Log-198b82b7eacc811baa93cfee947c68a9?pvs=4,Single Redirect,Active,
/impulse,https://sailorskills.notion.site/Impulse-Service-Log-199b82b7eacc815c8237ee049f9b9517?pvs=4,Single Redirect,Active,
/perpetua,https://sailorskills.notion.site/Perpetua-Service-Log-2feb82b7eacc81bd99a0e7e7f6724436?source=copy_link,Single Redirect,Active,
/zeno,https://sailorskills.notion.site/Zeno-Service-Log-403d15bd43dd4d48900d243224fd49fc,Single Redirect,Active,
/judy,https://sailorskills.notion.site/Judy-03c93c1c2d8d4da6a1c92ac33c4e2915,Single Redirect,Active,
/lechón,https://sailorskills.notion.site/Service-Log-ba1feb8a5d3b4926b14d76a0242e3954?pvs=4,Single Redirect,Active,
/diving,https://diving.sailorskills.com,Single Redirect,Active,
/dark-star,https://sailorskills.notion.site/Dark-Star-Service-Log-af8397cb21fd487f8f40126704f2f695,Single Redirect,Active,
/june-bug,https://sailorskills.notion.site/Junebug-eff089347eac4b779e71cc5762998562,Single Redirect,Active,
/services/bi-monthly,https://subscriptions.zoho.com/subscribe/bc4836464a9b54ca577ecfc70ad6faeda7726ba08b65d6ccad482bf477cf719e/BI-MONTHLY,Single Redirect,Active,
/glass-slipper,https://sailorskills.notion.site/Glass-Slipper-Service-Log-314b82b7eacc8122b412d855a338418e?source=copy_link,Single Redirect,Active,
/yakamoz,https://sailorskills.notion.site/Yakamoz-4b2ec8cc57c34c2ab152dd9ceef8e2db,Single Redirect,Active,
/freja,https://sailorskills.notion.site/Freja-b4e460271e9847d886b517b60d4135ac,Single Redirect,Active,
/pegasus,https://sailorskills.notion.site/Pegasus-Service-Log-e42e9bbd0d6549efacc6839843d331f5?pvs=4,Single Redirect,Active,
/detailing,https://detailing.sailorskills.com,Single Redirect,Active,
/desiderata,https://sailorskills.notion.site/Desiderata-Service-Log-206b82b7eacc81d79db6ee565a967e32?source=copy_link,Single Redirect,Active,
/pazzo-express,https://sailorskills.notion.site/Pazzo-Express-Service-Log-262b82b7eacc81948080f382061e13de?source=copy_link,Single Redirect,Active,
/the-circus-police,https://sailorskills.notion.site/The-Circus-Police-Service-Log-2fab82b7eacc81ac8c30d02082531507?source=copy_link,Single Redirect,Active,
/loose-eel,https://sailorskills.notion.site/Loose-Eel-Service-Log-1a29489cfff747eca6fea12d7fe317c2?pvs=4,Single Redirect,Active,
/pineapple-express,https://sailorskills.notion.site/Pineapple-Express-Service-Log-289b82b7eacc8160bc37f527470ff059?source=copy_link,Single Redirect,Active,
/allison,https://sailorskills.notion.site/Allison-ebf51149dd7148268cc88d72dfb53e33,Single Redirect,Active,
/persephone,https://sailorskills.notion.site/Persephone-Service-Log-127b82b7eacc8193b333f10dd14801d3?pvs=4,Single Redirect,Active,
/yachty-by-nature,https://sailorskills.notion.site/Yachty-By-Nature-Service-Log-1f9b82b7eacc81578cb2dde2f217c8a2?source=copy_link,Single Redirect,Active,
/estimator,https://cost-calculator-sigma.vercel.app,Single Redirect,Active,
/boombin,https://sailorskills.notion.site/Boombin-Service-Log-258e272026fe4c23a50273e0c8e6b594?pvs=4,Single Redirect,Active,
/solo,https://sailorskills.notion.site/Solo-Service-Log-6ec290abf4994003805ffd2cc8c40e2c,Single Redirect,Active,
/phoenix,https://sailorskills.notion.site/Phoenix-Service-Log-9fd40f213802411982715d131e9a359a,Single Redirect,Active,
/Omar,https://sailorskills.notion.site/O-Mar-Service-Log-2fab82b7eacc814db9d5cf9f76585d36?source=copy_link,Single Redirect,Active,
/indefatigable,https://sailorskills.notion.site/Indefatigable-55e0c46dc7f44d3cae7ff4dae00e2898,Single Redirect,Active,
/admin,https://cost-calculator-sigma.vercel.app/admin,Single Redirect,Active,
/andiamo,https://sailorskills.notion.site/Andiamo-Service-Log-174b82b7eacc81d4ade6fc4681300f15?pvs=4,Single Redirect,Active,
/take-it-easy,https://sailorskills.notion.site/Take-it-Easy-Service-Log-1e5b82b7eacc813892b2ffe9c6313dbc?pvs=4,Single Redirect,Active,
/gloria-bernadette,https://sailorskills.notion.site/Gloria-Burnadette-d01a194bf514449191996ae88873e7e9,Single Redirect,Active,
/nighthawk,https://sailorskills.notion.site/Nighthawk-Service-Log-24db82b7eacc80cd8b64f4ec21a2f498?source=copy_link,Single Redirect,Active,
/villasey,https://sailorskills.notion.site/VillaSey-Service-Log-fb515c9d26334ad7a039ac6a4835d097?pvs=4,Single Redirect,Active,
/mary-jayden,https://sailorskills.notion.site/Mary-Jayden-Service-Log-103b82b7eacc805cb9b1cebae6cf5b27?pvs=4,Single Redirect,Active,
/funkadelic,https://sailorskills.notion.site/Funkadelic-Service-Log-7126e18c54974b77a8db3d442b7fc4ae?pvs=4,Single Redirect,Active,
/diversupport,https://standardhuman.github.io/diver-support-service,Single Redirect,Active,
/dedalus,https://sailorskills.notion.site/Dedalus-122982eb081243cab6e7757311c4505a,Single Redirect,Active,
/deux-coeurs,https://sailorskills.notion.site/Deux-Coeurs-Service-Log-198b82b7eacc8103b68fc609564396e0?pvs=4,Single Redirect,Active,
/service,/services,Single Redirect,Active,
/empress,https://sailorskills.notion.site/Empress-Service-Log-672197013be2414f9bed643483f3889a?pvs=4,Single Redirect,Active,
/caregg,https://sailorskills.notion.site/Caregg-Service-Log-18bb82b7eacc81179b85deead95af9ae?source=copy_link,Single Redirect,Active,
/kelly-marie,https://sailorskills.notion.site/Kelly-Marie-Service-Log-4061631b7b5247afa6ec33b0612f5d78,Single Redirect,Active,
/sally-4th,https://sailorskills.notion.site/Sally-4th-Service-Log-b2f705b22553400692cabd44e2897bb2?pvs=4,Single Redirect,Active,
/wondering-aengus,https://sailorskills.notion.site/Wondering-Aengus-Service-Log-2b593d8ab54e46f3b0151f32b3f45030?pvs=4,Single Redirect,Active,
/mazu,https://sailorskills.notion.site/Mazu-2d4b82b7eacc80d9991cf1680dc465c2?source=copy_link,Single Redirect,Active,
/tgv,https://sailorskills.notion.site/TGV-Service-Log-cd5c1c017da34538bbef913bc16b0029,Single Redirect,Active,
/merope,https://sailorskills.notion.site/Merope-783ee0c856a54f4fa531aa9e25caf149,Single Redirect,Active,
/serenity,https://sailorskills.notion.site/Serenity-Service-Log-a8d928a164fa43b6a7e885f172a5182d?pvs=4,Single Redirect,Active,
/freyja,https://sailorskills.notion.site/Freyja-Service-Log-0a3af01500fe41629f39c9bc76abc1c1?pvs=4,Single Redirect,Active,
/smogen-2,https://sailorskills.notion.site/Smogen-2-Service-Log-1661330c838c4064978fb6302574202b?pvs=4,Single Redirect,Active,
/malolo,https://sailorskills.notion.site/Malolo-Service-Log-c5d2c539ac8446a7988c1a47022fe3d8,Single Redirect,Active,
/carroll-e,https://sailorskills.notion.site/Carroll-E-Service-Log-ccbd29ffa64a434987c47b8f54ade727,Single Redirect,Active,
/maris,https://sailorskills.notion.site/Maris-51e2424a8e934b70b6568d0caaf25ef6,Single Redirect,Active,
/millenium-falcon,https://sailorskills.notion.site/Millenium-Falcon-Service-Log-18bb82b7eacc812bb509f5dea39529c3?pvs=4,Single Redirect,Active,
/amaterasu,https://sailorskills.notion.site/Amaterasu-Service-Log-277b82b7eacc81c9a872c95eba719c96?source=copy_link,Single Redirect,Active,
/service-request,https://forms.gle/anfqFo3hNL9fAVt56,Single Redirect,Active,
/the-alfred,https://sailorskills.notion.site/The-Alfred-Service-Log-1f5b82b7eacc81758e15e1b6371eb547?pvs=4,Single Redirect,Active,
/zoho-plans,/services,Single Redirect,Active,
/high-road,https://sailorskills.notion.site/High-Road-Service-Log-7dbe2b093813454cabbcbf2d196dfae2?pvs=4,Single Redirect,Active,
/stargazer,https://sailorskills.notion.site/Stargazer-Service-Log-aa8ccd59e41949e681052f332597ee2d,Single Redirect,Active,
/dream-keeper,https://sailorskills.notion.site/Dream-Keeper-b62348e432b34ab3bd9b5850a9208325,Single Redirect,Active,
/windsweeper,https://sailorskills.notion.site/Service-Log-5e97bd6eee42430ab3622a8fffea25e3?pvs=4,Single Redirect,Active,
/eventide,https://sailorskills.notion.site/Eventide-Service-Log-87deec4a561a43a5813a8a38088c6893,Single Redirect,Active,
/tranquility,https://sailorskills.notion.site/Tranquility-Service-Log-ce7285561fa449d882641a1eced1bab8?pvs=4,Single Redirect,Active,
/esprit-de-moitessier,https://sailorskills.notion.site/Esprit-de-Moitessier-Service-Log-200b82b7eacc818fa366e28f48451f5b?source=copy_link,Single Redirect,Active,
/resources,https://sailorskills.notion.site/Recommended-Resources-87574c5a0b4d4954947a3170e76dd904,Single Redirect,Active,
/bee-mused,https://sailorskills.notion.site/Bee-Mused-Service-Log-120b82b7eacc8107ae4bf12b2492e7de?pvs=4,Single Redirect,Active,
